Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",42.5250,19.6500,90.0000,bottom
"C2","10nF","C_0805_2012Metric",37.2000,27.0500,180.0000,bottom
"C3","100nF","C_0805_2012Metric",31.6200,27.2150,180.0000,bottom
"C4","1uF","C_0805_2012Metric",39.7200,18.0600,180.0000,bottom
"C5","1uF","C_0805_2012Metric",39.7200,20.3600,180.0000,bottom
"C6","10uF","C_0805_2012Metric",27.9908,27.2000,0.0000,bottom
"C7","10uF","C_0805_2012Metric",49.7332,21.8440,0.0000,bottom
"C8","100nF","C_0805_2012Metric",49.7332,24.6380,0.0000,bottom
"D1","BZV55C-5,6V","D_SMA",41.6560,13.9700,180.0000,bottom
"D2","GREEN","LED_1206_2",48.0400,34.5000,0.0000,bottom
"IC1","DRV10987DPWPR","TSSOP-24_4.4x7.8mm_P0.65mm_PowerPAD",33.3075,21.0600,180.0000,bottom
"L1","47uH DE0703-47","L_Ferrocore_DLG-0703",43.5250,26.0500,90.0000,bottom
"R1","4k7","R_0805_2012Metric",34.2875,13.4500,0.0000,bottom
"R2","4k7","R_0805_2012Metric",30.6625,13.4500,180.0000,bottom
"R3","4k7","R_0805_2012Metric",20.0250,14.2875,-90.0000,bottom
"R4","DNF","R_0805_2012Metric",14.6750,14.2875,-90.0000,bottom
"R5","DNF","R_0805_2012Metric",17.2500,14.2875,-90.0000,bottom
"R6","160R","R_0805_2012Metric",47.6125,31.9000,0.0000,bottom
"R7","100R","R_0805_2012Metric",36.5875,15.4000,0.0000,bottom
